id,fuente,titulo,moneda,precio_uf,precio_clp,gastos_comunes_clp,gastos_comunes_estimado,total_estimado_clp,dormitorios,banos,superficie_m2,antiguedad_anios,admite_mascotas,estacionamientos,bodegas,amoblado,piso,orientacion,direccion,comuna,barrio,metro_cercano,metro_dist_m,corredor,plazo_entrega,lat,lng,relevancia,match_perfecto,dentro_presupuesto,calza_dormitorios,es_nuevo,precio_anterior,precio_delta,grupo_carac,precio_grupo_prom,delta_grupo_pct,etiqueta_precio,url,google_maps
b5cb2def59455b29,portalinmobiliario,"2d Y 1b, Metro Baquedano, Oriente Luminoso",CLP,,430000,90000,False,520000,2,1,45.0,15,False,0,0,False,4,O,"Av. Vicuña Mackenna 600 - 900, Santiago, Santa Isabel, Santiago",Santiago,Santa Isabel,Ñuble,481,True,,-33.4660586,-70.6267044,100,True,True,True,False,,,Santa Isabel · 2D 1B · 35-50 m²,430000,0.0,normal,https://portalinmobiliario.com/MLC-2074130123-2d-y-1b-metro-baquedano-oriente-luminoso-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4660586,-70.6267044"
88ebd772ae79b220,portalinmobiliario,Arriendo Depto Amoblado 2 Habitaciones - Subercaseaux (805),CLP,,550000,110000,False,660000,2,1,60.0,,False,0,0,True,4,O,"VICTORIA SUBERCASEAUX 121, Barrio Lastarria, Santiago",Santiago,Lastarria,Santa Lucía,183,True,,-33.4393576,-70.6422517,100,True,True,True,False,,,Santiago · 2D · 50-65 m²,470000,17.0,caro,https://portalinmobiliario.com/MLC-4212553334-arriendo-depto-amoblado-2-habitaciones-subercaseaux-805-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4393576,-70.6422517"
744b7fd005e76bac,chilepropiedades,Departamento en Arriendo 600.000 Barrio Italia,CLP,,600000,,True,700000,2,1,60.0,,,,,,,,Departamento en Arriendo 600.000 Barrio Italia,Providencia,Barrio Italia,Santa Isabel,324,,,-33.452875000000006,-70.629375,100,True,True,True,False,,,Barrio Italia · 2D · 50-65 m²,720000,-16.7,oferta,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/providencia/departamento/av-condell/123623923,"https://www.google.com/maps/search/?api=1&query=-33.452875000000006,-70.629375"
1ed8d5e69500bb73,portalinmobiliario,Departamento En Arriendo Barrio Italia,CLP,,600000,,True,700000,2,1,60.0,,,,,,,,"Condell 900 - 1200, Providencia, Barrio Italia, Providencia",Providencia,Barrio Italia,Parque Bustamante,356,,,-33.4433263,-70.6268023,100,True,True,True,False,,,Barrio Italia · 2D · 50-65 m²,720000,-16.7,oferta,https://portalinmobiliario.com/MLC-2095176351-departamento-en-arriendo-barrio-italia-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4433263,-70.6268023"
bc300721aaf68e7c,portalinmobiliario,Luminoso Atractivo Depto Lastarria,CLP,,600000,,True,700000,2,1,60.0,,,,,,,,"José Victorino Lastarria, 394, Barrio Lastarria, Santiago",Santiago,Lastarria,Universidad Católica,93,,,-33.4397371,-70.6412045,100,True,True,True,False,,,Santiago · 2D · 50-65 m²,470000,27.7,caro,https://portalinmobiliario.com/MLC-2122812131-luminoso-atractivo-depto-lastarria-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4397371,-70.6412045"
94307cec7701bc85,portalinmobiliario,"Depto En Arriendo 2d1b, Lira/santa Isabel ,stgo.",CLP,,370000,69000,False,439000,2,1,41.0,10,True,0,0,False,9,S,"Lira 499, Santiago, Santa Isabel, Santiago",Santiago,Santa Isabel,Santa Isabel,772,True,,-33.4490501,-70.6391797,95,True,True,True,False,,,Santa Isabel · 2D 1B · 35-50 m²,430000,-14.0,oferta,https://portalinmobiliario.com/MLC-2076811615-depto-en-arriendo-2d1b-lirasanta-isabel-stgo-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4490501,-70.6391797"
24d96a1fef5ef3c3,portalinmobiliario,Departamento Comodo Con Excelente Ubicacion,CLP,,350000,115000,False,465000,2,1,40.0,,True,0,0,,11,SO,"San Isidro 292, Santiago, Santa Isabel, Santiago",Santiago,Santa Isabel,Santa Lucía,696,True,,-33.4470301,-70.6438707,95,True,True,True,False,,,Santa Isabel · 2D 1B · 35-50 m²,430000,-18.6,oferta,https://portalinmobiliario.com/MLC-4145401506-departamento-comodo-con-excelente-ubicacion-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4470301,-70.6438707"
ec34542fce3cf13f,portalinmobiliario,"Oferta!!agosto 190 Mil 2 Dor, Metro Santa Lucia +56963937095",CLP,,380000,,True,480000,2,1,38.0,,,,,,,,"San Isidro 435, Santiago, Santa Isabel, Santiago",Santiago,Santa Isabel,Parque Almagro,952,,,-33.4494684,-70.6434475,95,True,True,True,False,,,Santa Isabel · 2D 1B · 35-50 m²,430000,-11.6,oferta,https://portalinmobiliario.com/MLC-2102793109-ofertaagosto-190-mil-2-dor-metro-santa-lucia-56963937095-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4494684,-70.6434475"
1646d0a24a95379d,portalinmobiliario,"Departamento En Arriendo Calle San Isidro, Santiago Centro.",CLP,,400000,90000,False,490000,2,1,40.0,,True,0,1,False,4,,"San Isidro 250, Santiago, Santa Isabel, Santiago",Santiago,Santa Isabel,Parque Almagro,601,True,,-33.4540333,-70.6420286,95,True,True,True,False,,,Santa Isabel · 2D 1B · 35-50 m²,430000,-7.0,normal,https://portalinmobiliario.com/MLC-2061520415-departamento-en-arriendo-calle-san-isidro-santiago-centro-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4540333,-70.6420286"
3983626498e755a4,portalinmobiliario,Depto Metro Santa Lucia Estacionamiento $ 440.000,CLP,,440000,90000,False,530000,2,1,48.0,10,True,1,1,False,1,SP,"Lira 1 - 300, Santiago, Santa Isabel, Santiago",Santiago,Santa Isabel,Santa Isabel,926,True,,-33.4569983,-70.6369387,95,True,True,True,False,,,Santa Isabel · 2D 1B · 35-50 m²,430000,2.3,normal,https://portalinmobiliario.com/MLC-2091479099-depto-metro-santa-lucia-estacionamiento-440000-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4569983,-70.6369387"
f9cbdd9fe902f65a,portalinmobiliario,Depto 2d 1b San Isidro-centrico Gran Conectividad,CLP,,450000,,True,550000,2,1,42.0,,,,,,,,"San Isidro, 520, Santa Isabel, Santiago",Santiago,Santa Isabel,Santa Lucía,534,,,-33.4455331,-70.6441879,95,True,True,True,False,,,Santa Isabel · 2D 1B · 35-50 m²,430000,4.7,normal,https://portalinmobiliario.com/MLC-2114834011-depto-2d-1b-san-isidro-centrico-gran-conectividad-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4455331,-70.6441879"
